Rank|Song|Total Points|Number Ones|Total Listeners
4514|Alina Baraz - Tainted|1.0|0|1
4514|Alina Baraz - The One (feat. Jada)|1.0|0|1
4514|Alina Baraz - Yours|1.0|0|1
4514|Alison Wonderland - Awake|1.0|0|1
4514|Alison Wonderland - Church|1.0|0|1
4514|Alison Wonderland - Cry|1.0|0|1
4514|Alison Wonderland - Good Girls Bad Boys|1.0|0|1
4514|Alison Wonderland - Happy Place|1.0|0|1
4514|Alison Wonderland - Here 4 U - Alison Wonderland x BLESSUS|1.0|0|1
4514|Alison Wonderland - High|1.0|0|1
4514|Alison Wonderland - Hope - Interlude|1.0|0|1
4514|Alison Wonderland - Okay|1.0|0|1
4514|Alison Wonderland - Sometimes Love - Alison Wonderland x SLUMBERJACK|1.0|0|1
4514|All The Luck In The World - Golden October|1.0|0|1
4514|All Time Low - Break Out! Break Out!|1.0|0|1
4514|All Time Low - Dear Maria, Count Me In|1.0|0|1
4514|All Time Low - Remembering Sunday|1.0|0|1
4514|All Time Low - The Girl's a Straight-Up Hustler|1.0|0|1
4514|All Time Low - Therapy|1.0|0|1
4514|Allie X - Bitch|1.0|0|1
4514|Allie X - Downtown|1.0|0|1
4514|Allie X - Never Enough|1.0|0|1
4514|Allie X - Simon Says|1.0|0|1
4514|Allie X - Vintage|1.0|0|1
4514|Allie X feat. Valley Girl - Need You|1.0|0|1
4514|Allison Iraheta - D Is For Dangerous|1.0|0|1
4514|Allison Weiss - Call Your Girlfriend (Robyn Cover)|1.0|0|1
4514|Allison Weiss - Don't Go|1.0|0|1
4514|Allison Weiss - Hole in Your Heart|1.0|0|1
4514|Allison Weiss - How To Be Alone|1.0|0|1
4514|Allison Weiss - I Was an Island|1.0|0|1
4514|Allison Weiss - I'll Be Okay|1.0|0|1
4514|Allison Weiss - Making It Up|1.0|0|1
4514|Allison Weiss - Nothing Left|1.0|0|1
4514|Allison Weiss - One Way Love|1.0|0|1
4514|Allison Weiss - Say What You Mean|1.0|0|1
4514|Allison Weiss - Wait for Me|1.0|0|1
4514|Allison Weiss - Why Bother (The Age Of Rockets Remix)|1.0|0|1
4514|alt-J - Bloodflood|1.0|0|1
4514|alt-J - Breezeblocks|1.0|0|1
4514|Altimet - Amboi|1.0|0|1
4514|AlunaGeorge - I Remember (feat. Flume)|1.0|0|1
4514|AlunaGeorge - I'm in Control|1.0|0|1
4514|AlunaGeorge - In My Head|1.0|0|1
4514|Alvvays - Hey|1.0|0|1
4514|Alvvays - Not My Baby|1.0|0|1
4514|Alvvays - Plimsoll Punks|1.0|0|1
4514|Alvvays - Your Type|1.0|0|1
4514|Always Never - Millions|1.0|0|1
4514|ALXXA - rearview|1.0|0|1
4514|Aly & AJ - Rush|1.0|0|1
4514|Alyssa Edwards - COSMO Queens | Episode 9 | Cosmopolitan|1.0|0|1
4514|Alyssa Edwards' Secret w/ Violet Chachki & Katya - Day 2 Part 2 at RuPaul's DragCon 2015|1.0|0|1
4514|Amber - Heartbeat (feat. Ferry Corsten, Kago Pengchi)|1.0|0|1
4514|Amber - Lower|1.0|0|1
4514|Amber Mark - Lose My Cool|1.0|0|1
4514|Amber Run - Hurricane|1.0|0|1
4514|American Hearts - Piebald|1.0|0|1
4514|Aminata - Zero Love|1.0|0|1
4514|Aminé - Caroline|1.0|0|1
4514|Amnesia Scanner - AS Chaos (feat. Pan Daijing)|1.0|0|1
4514|Amy Rigby - New Sheriff|1.0|0|1
4514|Amy Winehouse - Fuck Me Pumps|1.0|0|1
4514|Amy Winehouse - I Heard Love Is Blind|1.0|0|1
4514|Amy Winehouse - Moody's Mood for Love / Teo Licks|1.0|0|1
4514|Anabot - Act III Romance|1.0|0|1
4514|Anabot - Astronaut Yearbook 2020|1.0|0|1
4514|Anabot - Blind Love|1.0|0|1
4514|Anabot - Daydreamer|1.0|0|1
4514|Anabot - Ext. Los Angeles: Day|1.0|0|1
4514|Anabot - Fade In:|1.0|0|1
4514|Anabot - Fuck Your Money|1.0|0|1
4514|Anabot - Hover|1.0|0|1
4514|Anabot - Int. Los Angeles: Night|1.0|0|1
4514|Anabot - Melancholy Maybes|1.0|0|1
4514|Anabot - Mine Mine Mine|1.0|0|1
4514|Anabot - Mongrel|1.0|0|1
4514|Anberlin - Armageddon|1.0|0|1
4514|Anberlin - Atonement|1.0|0|1
4514|Anberlin - Birds Of Prey|1.0|0|1
4514|Anberlin - Dissenter|1.0|0|1
4514|Anberlin - Harbinger|1.0|0|1
4514|Anberlin - Hearing Voices|1.0|0|1
4514|Anberlin - Losing It All|1.0|0|1
4514|Anberlin - Stranger Ways|1.0|0|1
4514|Anberlin - Velvet Covered Brick|1.0|0|1
4514|Anberlin - We Are Destroyer|1.0|0|1
4514|Anchor & Bear - Green Shoe Girl|1.0|0|1
4514|Anderson .Paak - Heart Don't Stand a Chance|1.0|0|1
4514|Anderson .Paak - Lite Weight (feat. The Free Nationals United Fellowship Choir)|1.0|0|1
4514|Anderson .Paak - Might Be|1.0|0|1
4514|Anderson East - All On My Mind|1.0|0|1
4514|Anderson East - Cabinet Door|1.0|0|1
4514|Andrew Luce - Isabella|1.0|0|1
4514|Andrew McMahon in The Wilderness - Canyon Moon|1.0|0|1
4514|Andrew Rannells - Hello!|1.0|0|1
4514|Andrew Younker - Turning Twenty|1.0|0|1
4514|Andy Gibb - Melody|1.0|0|1
4514|Angel Olsen - Lights Out|1.0|0|1
4514|Angel Olsen - Tougher Than The Rest|1.0|0|1
4514|Angela Torres - Yo no soy esa Julieta|1.0|0|1
4514|Angela Torres - ¿Por qué no?|1.0|0|1
4514|Angela Via - Picture Perfect|1.0|0|1
4514|Angus & Julia Stone - Chateau|1.0|0|1
4514|Anila Mirela - Three Trees|1.0|0|1
4514|Animal Collective - Grass|1.0|0|1
4514|Anja Schneider - Free Fall|1.0|0|1
4514|Anjulie - Where The Love Goes (feat. Oskar Flood)|1.0|0|1
4514|Anna Kendrick - The Next Ten Minutes|1.0|0|1
4514|Anna Of The North - Oslo|1.0|0|1
4514|Annie - Chewing Gum|1.0|0|1
4514|Annie - Come Together|1.0|0|1
4514|Ansel Elgort - Thief|1.0|0|1
4514|Anson Seabra - Welcome To Wonderland|1.0|0|1
4514|Anteros - On The Moon|1.0|0|1
4514|AOA CREAM - I'm jelly Baby|1.0|0|1
4514|AObeats - No Fakin'|1.0|0|1
4514|Approaching Nirvana - 2nd Flight (feat. Veela)|1.0|0|1
4514|April - The Blue Bird|1.0|0|1
4514|Aquilo - Better Off Without You|1.0|0|1
4514|Aquilo - Waiting|1.0|0|1
4514|Ar'mon & Trey - Breakdown|1.0|0|1
4514|Arcane Mage | WoW: Battle for Azeroth - Alpha|1.0|0|1
4514|Arctic Monkeys - Despair In The Departure Lounge|1.0|0|1
4514|Arctic Monkeys - Knee Socks|1.0|0|1
4514|Arctic Monkeys - Mardy Bum|1.0|0|1
4514|Arctic Monkeys - Snap Out Of It|1.0|0|1
4514|Arctic Monkeys - Why'd You Only Call Me When You're High?|1.0|0|1
4514|Ardency - Bloom|1.0|0|1
4514|Aretha Franklin - A Rose Is Still A Rose|1.0|0|1
4514|Aretha Franklin - Every Lil' Bit Hurts|1.0|0|1
4514|Aretha Franklin - Here We Go Again|1.0|0|1
4514|Aretha Franklin - Never Leave You Again|1.0|0|1
4514|Ari Lennox - Night Drive|1.0|0|1
4514|Ariana Deboo - My Love 4 U|1.0|0|1
4514|Ariana Grande - Best Mistake (feat. Big Sean)|1.0|0|1
4514|Ariana Grande - Just a Little Bit Of Your Heart|1.0|0|1
4514|Ariana Grande - My Everything|1.0|0|1
4514|Ariana Grande - No Tears Left To Cry (The DJ Mike D Radio Edit)|1.0|0|1
4514|Ariana Grande - Piano|1.0|0|1
4514|Ariana Grande - The Way|1.0|0|1
4514|Ariana Grande - They Don't Know|1.0|0|1
4514|Ariel Pink - Another Weekend|1.0|0|1
4514|Ariel Pink - Baby|1.0|0|1
4514|Ark Patrol - Myrmidon|1.0|0|1
4514|Arkane Skye - Lights|1.0|0|1
4514|Art Blakey - Caravan|1.0|0|1
4514|Art Blakey - Thermo (take 2)|1.0|0|1
4514|Artie Shaw - Softly, as in a Morning Sunrise|1.0|0|1
4514|Arty - Rain|1.0|0|1
4514|Aryay - Never Gonna Leave|1.0|0|1
4514|Ash Koosha - Aktual|1.0|0|1
4514|Ash Koosha - Aktual II|1.0|0|1
4514|Ash Koosha - Aroha|1.0|0|1
4514|Ash Koosha - Awareness|1.0|0|1
4514|Ash Koosha - Cycle|1.0|0|1
4514|Ash Koosha - End The End|1.0|0|1
4514|Ash Koosha - Eve|1.0|0|1
4514|Ash Koosha - Incomplete|1.0|0|1
4514|Ash Koosha - Magnet|1.0|0|1
4514|Ash Koosha - Nerve|1.0|0|1
4514|Ash Koosha - Neural Lace|1.0|0|1
4514|Ash Koosha - Skin|1.0|0|1
4514|Ash Koosha - TrappistOne|1.0|0|1
4514|Ash Koosha - Yona 1.1 (feat. Yona)|1.0|0|1
4514|Asher Roth - I Love College|1.0|0|1
4514|Ashley McBryde - The Jacket|1.0|0|1
4514|Ashley Monroe - Daddy I Told You|1.0|0|1
4514|Ashley Monroe - I'm Trying To|1.0|0|1
4514|Ashley Monroe - Mother's Daughter|1.0|0|1
4514|Ashley Monroe - Paying Attention|1.0|0|1
4514|Ashley Monroe - She Wakes Me Up (Rescue Me)|1.0|0|1
4514|Ashley Monroe - This Heaven|1.0|0|1
4514|Asia O'Hara Hates on Monét X Change ‘Deleted Scene' - RuPaul's Drag Race Season 10|1.0|0|1
4514|ASMR Doctor Roleplay - Yearly Check-up|1.0|0|1
4514|Atlas Genius - Molecules Version|1.0|0|1
4514|Attlas - Colors (feat. Kye Sones)|1.0|0|1
4514|Attlas - I Need You More|1.0|0|1
4514|Aubrey Huntsman - Strawberry Season|1.0|0|1
4514|Austin Basham - All Is Well|1.0|0|1
4514|Autechre - C/pach|1.0|0|1
4514|Autechre - Clipper|1.0|0|1
4514|Autechre - Dael|1.0|0|1
4514|Autechre - Eutow|1.0|0|1
4514|Autechre - Gnit|1.0|0|1
4514|Autechre - Leterel|1.0|0|1
4514|Autechre - Rotar|1.0|0|1
4514|Autechre - Stud|1.0|0|1
4514|Avicii - All You Need Is Love|1.0|0|1
4514|Avicii - Can't Catch Me|1.0|0|1
4514|Avicii - Canyons|1.0|0|1
4514|Avicii - City Lights|1.0|0|1
4514|Avicii - Gonna Love Ya|1.0|0|1
4514|Avicii - Lay Me Down|1.0|0|1
4514|Avicii - Liar Liar|1.0|0|1
4514|Avicii - Shame on Me|1.0|0|1
4514|Avicii - So Excited|1.0|0|1
4514|Avicii - So Much Better - Avicii Remix|1.0|0|1
4514|Avicii - Speed - Burn & Lotus F1 Team Mix|1.0|0|1
4514|Avicii - Ten More Days|1.0|0|1
4514|Avicii - Touch Me|1.0|0|1
4514|Avicii - Trouble|1.0|0|1
4514|Avicii - True Believer|1.0|0|1
4514|Avicii - We Write The Story|1.0|0|1
4514|Avril Lavigne - Alone|1.0|0|1
4514|Avril Lavigne - He Wasn't|1.0|0|1
4514|Avril Lavigne - How You Remind Me|1.0|0|1
4514|Avril Lavigne - Rock n Roll|1.0|0|1
4514|Avril Lavigne - When You're Gone|1.0|0|1
4514|Awolnation - Jailbreak|1.0|0|1
4514|Awolnation - Sail|1.0|0|1
4514|Awolnation - Windows|1.0|0|1
4514|Ayaman Japan - IWASHITA|1.0|0|1
4514|Aybner - Always|1.0|0|1
4514|AyokAy - The Shine|1.0|0|1
4514|Azealia Banks - Chi Chi|1.0|0|1
4514|Azealia Banks - Movin' On Up|1.0|0|1
4514|B.A.P - Feel So Good|1.0|0|1
4514|B.o.B - Airplanes (feat. Hayley Williams)|1.0|0|1
4514|B.o.B - Magic|1.0|0|1
4514|B.o.B - Magic (feat. Rivers Cuomo)|1.0|0|1
4514|Baauer - Harlem Shake|1.0|0|1
4514|Backstreet Boys - Don't Wanna Lose You Now|1.0|0|1
4514|Backstreet Boys - Don't Want You Back|1.0|0|1
4514|Bad Suns - 20 Years|1.0|0|1
4514|Bad Suns - Transpose|1.0|0|1
4514|BADBADNOTGOOD - LAVENDER|1.0|0|1
4514|Baha Men - Who Let The Dogs Out|1.0|0|1
4514|Bahamadia - Wordplay|1.0|0|1
4514|Ball Park Music - I Am a Dog|1.0|0|1
4514|Ball Park Music - She Only Loves Me When I'm There|1.0|0|1
4514|Bananarama - Cruel Summer|1.0|0|1
4514|Bananarama - I Heard a Rumour|1.0|0|1
4514|Band Of Horses - No One's Gonna Love You|1.0|0|1
4514|Bankroll Mafia - Out my face|1.0|0|1
4514|Banks - Mother Earth|1.0|0|1
4514|Banks - Trainwreck|1.0|0|1
4514|Banx & Ranx & Ella Eyre - Answerphone (feat. Yxng Bane)|1.0|0|1
4514|Barenaked Ladies - Alcohol|1.0|0|1
4514|Barenaked Ladies - Be My Yoko Ono|1.0|0|1
4514|Basement Jaxx - Red Alert (Jaxx radio mix)|1.0|0|1
4514|Bastille - Warmth|1.0|0|1
4514|Battle Tapes - Again|1.0|0|1
4514|Battle Tapes - Alive|1.0|0|1
4514|Battle Tapes - Dreamboat|1.0|0|1
4514|Battle Tapes - Feel The Same|1.0|0|1
4514|Battle Tapes - Valkyrie|1.0|0|1
4514|Baustelle - Basso e batteria|1.0|0|1
4514|Baustelle - Eurofestival|1.0|0|1
4514|bazzi - Honest|1.0|0|1
4514|Bea Miller - Like That|1.0|0|1
4514|beabadoobee - Bobby|1.0|0|1
4514|beabadoobee - Home Alone|1.0|0|1
4514|Beach Fossils - Down The Line|1.0|0|1
4514|Beach Fossils - May 1st|1.0|0|1
4514|Beach Fossils - SAINT IVY|1.0|0|1
4514|Beach House - 10:37|1.0|0|1
4514|Beach House - All The Years|1.0|0|1
4514|Beach House - Better Times|1.0|0|1
4514|Beach House - Bluebird|1.0|0|1
4514|Beach House - Gila|1.0|0|1
4514|Beach House - Heart Of Chambers|1.0|0|1
4514|Beach House - Holy Dances|1.0|0|1
4514|Beach House - Levitation|1.0|0|1
4514|Beach House - Master Of None|1.0|0|1
4514|Beach House - One Thing|1.0|0|1
4514|Beach House - PPP|1.0|0|1
4514|Beach House - Real Love|1.0|0|1
4514|Beach House - Somewhere Tonight|1.0|0|1
4514|Beach House - Sparks|1.0|0|1
4514|Beach House - The Hours|1.0|0|1
4514|Beach House - Walk in The Park|1.0|0|1
4514|Beach House - Wedding Bell|1.0|0|1
4514|Beach House - Wildflower|1.0|0|1
4514|Beach House - You Came To Me|1.0|0|1
4514|Bear Hands - 2AM|1.0|0|1
4514|Bear Hands - Boss|1.0|0|1
4514|Bear Hands - Marathon Man|1.0|0|1
4514|Bear McCreary - Agents Of S.H.I.E.L.D. Overture|1.0|0|1
4514|Bearhug - When I Shake|1.0|0|1
4514|Beastie Boys - 3-Minute Rule|1.0|0|1
4514|Beastie Boys - Car Thief|1.0|0|1
4514|Beastie Boys - Egg Man|1.0|0|1
4514|Beastie Boys - Hey Ladies|1.0|0|1
4514|Beastie Boys - High Plains Drifter|1.0|0|1
4514|Beastie Boys - Johnny Ryall|1.0|0|1
4514|Beastie Boys - Looking Down The Barrel Of A Gun|1.0|0|1
4514|Beastie Boys - Shake Your Rump|1.0|0|1
4514|Beastie Boys - The Sounds Of Science|1.0|0|1
4514|Beastie Boys - To All The Girls|1.0|0|1
4514|Beatrice Eli - Violent Silence|1.0|0|1
4514|Bebe Rexha - Atmosphere|1.0|0|1
4514|Bebe Rexha - I Got You|1.0|0|1
4514|Bebe Rexha - Small Doses|1.0|0|1
4514|Beck - Dreams - Colors Mix|1.0|0|1
4514|Beck - Wow|1.0|0|1
4514|Becky G - Break A Sweat|1.0|0|1
4514|Becky G - Shower|1.0|0|1
4514|bedbug - "...inside The house was getting darker"|1.0|0|1
4514|bedbug - summer and, everyone|1.0|0|1
4514|Bee Gees - How Deep Is Your Love|1.0|0|1
4514|Belinda Carlisle - Heaven Is a Place on Earth|1.0|0|1
4514|Belinda Carlisle - La Luna|1.0|0|1
4514|Bella Thorne - TTYLXOX|1.0|0|1
4514|Belle and Sebastian - Like Dylan in The Movies|1.0|0|1
4514|Belle and Sebastian - We Were Beautiful|1.0|0|1
4514|Belly - Bobby Brown|1.0|0|1
4514|Ben E. King - Stand By Me|1.0|0|1
4514|Ben Gibbard - And I Love Him|1.0|0|1
4514|Ben Howard - A Boat To An Island On The Wall|1.0|0|1
4514|ben platt - If I Could Tell Her|1.0|0|1
4514|Beneath Usual - Perception|1.0|0|1
4514|Benjamin Ingrosso - Dance You Off|1.0|0|1
4514|Bert Jansch - Angie - 2015 Remaster|1.0|0|1
4514|Best Of Vaporwave - Ambient Mix|1.0|0|1
4514|Beyoncé - Check On It - (feat. Bun B and Slim Thug)|1.0|0|1
4514|Beyoncé - Dangerously In Love|1.0|0|1
4514|Beyoncé - Flawless remix|1.0|0|1
4514|Beyoncé - Haunted|1.0|0|1
4514|Beyoncé - Me, Myself and I|1.0|0|1
4514|Beyoncé - Party|1.0|0|1
4514|Beyoncé - Pretty Hurts|1.0|0|1
4514|Beyoncé ft Jack White - Don't Hurt Yourself Pre Promo|1.0|0|1
4514|Bhad Bhabie - These Heaux|1.0|0|1
4514|Bhad Bhabie - Whachu Know|1.0|0|1
4514|Bibio - Petals|1.0|0|1
4514|Bibio - Town & Country|1.0|0|1
4514|Big Black Delta - Huggin & Kissin|1.0|0|1
4514|Big Boi - All Night|1.0|0|1
4514|Big Boi feat. LunchMoney Lewis - All Night|1.0|0|1
4514|BIG CROWN RECORDS - Bobby Oroza - This Love Pt. 1|1.0|0|1
4514|Big Data - Automatic (feat. Jenn Wasner)|1.0|0|1
4514|Big Sean - I Don't Fuck With You (feat. E-40)|1.0|0|1
4514|Big Thief - Black Diamonds|1.0|0|1
4514|Big Thief - Coma|1.0|0|1
4514|Big Thief - Great White Shark|1.0|0|1
4514|Big Thief - Haley|1.0|0|1
4514|Big Thief - Masterpiece|1.0|0|1
4514|Big Thief - Masterpiece - (solo)|1.0|0|1
4514|Big Thief - Objects|1.0|0|1
4514|Big Thief - Paul|1.0|0|1
4514|Big Thief - Pretty Things|1.0|0|1
4514|Big Thief - Shark Smile|1.0|0|1
4514|Big Thief - Velvet Ring|1.0|0|1
4514|Bikini Kill - Carnival|1.0|0|1
4514|Bikini Kill - Distinct Complicity|1.0|0|1
4514|Bikini Kill - Magnet|1.0|0|1
4514|Bikini Kill - Reject All American|1.0|0|1
4514|Bill Fay - Laughing Man|1.0|0|1
4514|Bill Fay - Omega Day|1.0|0|1
4514|Billy Idol - White Wedding - Pt. 1|1.0|0|1
4514|Billy Joel - It's Still Rock and Roll To Me|1.0|0|1
4514|Billy Joel - She's Always a Woman|1.0|0|1
4514|Billy Joel - Vienna|1.0|0|1
4514|Billy Joel - We Didn't Start The Fire|1.0|0|1
4514|Billy Lemos - 12:34 AM|1.0|0|1
4514|Bing & Ruth - Starwood Choker|1.0|0|1
4514|Birdy - Wild Horses|1.0|0|1
4514|Bishop Scully - 6 - 134 righteousfury134134134134134134134|1.0|0|1
4514|Biz Markie - Just A Friend|1.0|0|1
4514|Björk - 5 Years|1.0|0|1
4514|Björk - Alarm Call|1.0|0|1
4514|Björk - All Neon Like|1.0|0|1
4514|Björk - Bachelorette|1.0|0|1
4514|Björk - Big Time Sensuality|1.0|0|1
4514|Björk - Blissing me|1.0|0|1
4514|Björk - Body Memory|1.0|0|1
4514|Björk - Cocoon|1.0|0|1
4514|Björk - Courtship|1.0|0|1
4514|Björk - Declare Independence|1.0|0|1
4514|Björk - Features Creatures|1.0|0|1
4514|Björk - Human Behaviour|1.0|0|1
4514|Björk - Hunter|1.0|0|1
4514|Björk - Hyperballad|1.0|0|1
4514|Björk - Immature|1.0|0|1
4514|Björk - Innocence|1.0|0|1
4514|Björk - It's Not Up To You|1.0|0|1
4514|Björk - It's Oh So Quiet|1.0|0|1
4514|Björk - Mouth's Cradle|1.0|0|1
4514|Björk - Oceania|1.0|0|1
4514|Björk - Pleasure Is All Mine|1.0|0|1
4514|Björk - Pluto|1.0|0|1
4514|Björk - Possibly Maybe|1.0|0|1
4514|Björk - Undo|1.0|0|1
4514|Björk - Unravel|1.0|0|1
4514|Black Bear - Black Bear|1.0|0|1
4514|Black Box - I Don't Know Anybody Else|1.0|0|1
4514|Black Eyed Peas - Meet Me Halfway|1.0|0|1
4514|Black Eyed Peas - My Humps|1.0|0|1
4514|Black Eyed Peas - Pump It|1.0|0|1
4514|Black Jeopardy with Chadwick Boseman - SNL|1.0|0|1
4514|Black Lips - Veni Vidi Vici|1.0|0|1
4514|Black Marble - A Great Design|1.0|0|1
4514|BLACKPINK - AS IF IT'S YOUR LAST - Japanese Version|1.0|0|1
4514|BLACKPINK - PLAYING WITH FIRE - Japanese Version|1.0|0|1
4514|BLACKPINK - Stay|1.0|0|1
4514|BLACKPINK - STAY - Japanese Version|1.0|0|1
4514|BLACKPINK - WHISTLE|1.0|0|1
4514|BLACKPINK - WHISTLE - Japanese Version|1.0|0|1
4514|Blank Banshee - AMMONIA CLOUDS|1.0|0|1
4514|Bleachers - Foreign Girls|1.0|0|1
4514|Bleachers - I'm Ready To Move On/Mickey Mantle Reprise|1.0|0|1
4514|Bleachers - Nothing Is U|1.0|0|1
4514|blink-182 - Going Away To College|1.0|0|1
4514|Blondie - Atomic - 2001 Digital Remaster|1.0|0|1
4514|Blondie - Will Anything Happen - 2001 Digital Remaster|1.0|0|1
4514|Blood Orange - Bad Girls|1.0|0|1
4514|Blood Orange - JUNE 12TH|1.0|0|1
4514|Blue October - Everlasting Friend|1.0|0|1
4514|Blue Swede - Hooked on a Feeling|1.0|0|1
4514|Blwout - Animal Karma w/ Danewav|1.0|0|1
4514|Boa - Only One|1.0|0|1
4514|Boa - 내가 돌아 NEGA DOLA|1.0|0|1
4514|Boadi - AwoMaa|1.0|0|1
4514|Boards Of Canada - '84 Pontiac Dream|1.0|0|1
4514|Boards Of Canada - Ataronchronon|1.0|0|1
4514|Boards Of Canada - Beware The Friendly Stranger|1.0|0|1
4514|Boards Of Canada - Corsair|1.0|0|1
4514|Boards Of Canada - Dayvan Cowboy|1.0|0|1
4514|Boards Of Canada - In The Annexe|1.0|0|1
4514|Boards Of Canada - Music Is Math|1.0|0|1
4514|Boards Of Canada - Olson|1.0|0|1
4514|Boards Of Canada - Peacock Tail|1.0|0|1
4514|Boards Of Canada - Ready Lets Go|1.0|0|1
4514|Boards Of Canada - Sick Times|1.0|0|1
4514|Boards Of Canada - The Smallest Weird Number|1.0|0|1
4514|Boards Of Canada - Zoetrope|1.0|0|1
4514|Bob Dylan - He's Funny That Way|1.0|0|1
4514|Bob Dylan - Lily, Rosemary and The Jack Of Hearts|1.0|0|1
4514|Bob Marley & The Wailers - Buffalo Soldier|1.0|0|1
4514|Bob Marley & The Wailers - Could You Be Loved|1.0|0|1
4514|Bob Marley & The Wailers - Easy Skanking|1.0|0|1
4514|Bob Marley & The Wailers - Is This Love|1.0|0|1
4514|Bob Marley & The Wailers - No Woman, No Cry - Live At The Lyceum, London/1975|1.0|0|1
4514|Bob Marley & The Wailers - One Love/People Get Ready|1.0|0|1
4514|Bob Marley & The Wailers - Redemption Song|1.0|0|1
4514|Bob Marley & The Wailers - Satisfy My Soul|1.0|0|1
4514|Bob Marley & The Wailers - Stir It Up - Original Album Version|1.0|0|1
4514|Bob Marley & The Wailers - Three Little Birds|1.0|0|1
4514|Bob Marley & The Wailers - Waiting In Vain|1.0|0|1
4514|Bobi Andonov - Smoke|1.0|0|1
4514|Bokka - Breach|1.0|0|1
4514|Bokka - Button|1.0|0|1
4514|Bokka - Day 1|1.0|0|1
4514|Bokka - Forgive Me|1.0|0|1
4514|Bokka - Hello Darkness|1.0|0|1
4514|Bokka - In Love With The Dead Man|1.0|0|1
4514|Bokka - Paper Fuse|1.0|0|1
4514|Bokka - Run For Yourself|1.0|0|1
4514|Bokka - Secret Void|1.0|0|1
4514|Bokka - Take My Hand|1.0|0|1
4514|Bombs Away - Like You (feat. Elle Vee)|1.0|0|1
4514|Bon Iver - 666 ʇ|1.0|0|1
4514|Bon Iver - 715 - CR∑∑KS|1.0|0|1
4514|BONJR - Hey Sego|1.0|0|1
4514|Bonobo - Cirrus|1.0|0|1
4514|Bonobo - Heaven for The Sinner (feat. Erykah Badu)|1.0|0|1
4514|Bonobo - Jets|1.0|0|1
4514|Bonobo - Sapphire|1.0|0|1
4514|BOO SEEKA - Turn Up Your Light|1.0|0|1
4514|Boogie - BROCKHAMPTON|1.0|0|1
4514|Bowling for Soup - Stacy's Mom|1.0|0|1
4514|BOXINLION - Dare To Live Theme|1.0|0|1
4514|BQL - Promise|1.0|0|1
4514|Brandi Carlile - The Joke|1.0|0|1
4514|Brandon Jenner - Burning Ground|1.0|0|1
4514|Bratmobile - Girl Germs|1.0|0|1
4514|Brave Girls - Rollin'|1.0|0|1
4514|Brazilian Girls - Balla Balla|1.0|0|1
4514|Brazilian Girls - Go Out More Often|1.0|0|1
4514|Brazilian Girls - Impromptu|1.0|0|1
4514|Brazilian Girls - Karaköy|1.0|0|1
4514|Brazilian Girls - Let's Make Love|1.0|0|1
4514|Brazilian Girls - Looking for Love|1.0|0|1
4514|Brazilian Girls - Pirates|1.0|0|1
4514|Brazilian Girls - Sunny Days|1.0|0|1
4514|Brazilian Girls - The Critic|1.0|0|1
4514|Brazilian Girls - We Stopped|1.0|0|1
4514|Brazilian Girls - Wild Wild Web|1.0|0|1
4514|Brazilian Girls - Woman in The Red|1.0|0|1
4514|Brent Faiyaz - Make Luv|1.0|0|1
4514|Brian Eno - China My China|1.0|0|1
4514|Brian Wilson - Run James Run|1.0|0|1
4514|Brian Wilson - Your Imagination|1.0|0|1
4514|Bridgit Mendler - Atlantis (feat. Kaiydo)|1.0|0|1
4514|Bridgit Mendler - Diving|1.0|0|1
4514|Bright and Beautiful - Night Rains - Sound Of Ibiza Mix|1.0|0|1
4514|Britney Spears - (I Can't Get No) Satisfaction|1.0|0|1
4514|Britney Spears - Clumsy|1.0|0|1
4514|Britney Spears - Don't Go Knockin' on My Door|1.0|0|1
4514|Britney Spears - Don't Let Me Be The Last To Know|1.0|0|1
4514|Britney Spears - He About To Lose Me|1.0|0|1
4514|Britney Spears - Heart - 2009 Remaster|1.0|0|1
4514|Britney Spears - Heaven on Earth|1.0|0|1
4514|Britney Spears - Just Like Me|1.0|0|1
4514|Britney Spears - Kill The Lights|1.0|0|1
4514|Britney Spears - Mannequin|1.0|0|1
4514|Britney Spears - Now That I Found You|1.0|0|1
4514|Britney Spears - Passenger|1.0|0|1
4514|Britney Spears - Perfect Lover|1.0|0|1
4514|Britney Spears - Stronger|1.0|0|1
4514|Britney Spears - Til It's Gone|1.0|0|1
4514|Britney Spears - Toy Soldier|1.0|0|1
4514|Britney Spears - Where Are You Now|1.0|0|1
4514|Britney Spears X Wendy Williams - If I'm Whaleiams|1.0|0|1
4514|BRKLYN - Can't Get Enough (feat. Mariah McManus)|1.0|0|1
4514|BROCKHAMPTON - CASH|1.0|0|1
4514|BROCKHAMPTON - FACE|1.0|0|1
4514|BROCKHAMPTON - GAMBA|1.0|0|1
4514|BROCKHAMPTON - JOHNNY|1.0|0|1
4514|BROCKHAMPTON - MILK|1.0|0|1
4514|BROCKHAMPTON - Skit 3|1.0|0|1
4514|BROCKHAMPTON - STUPID|1.0|0|1
4514|Broken Bells - After The Disco|1.0|0|1
4514|Broken Bells - The Changing Lights|1.0|0|1
4514|Broken Bells - The Remains Of Rock & Roll|1.0|0|1
4514|BROODS - Heartlines - MOUNT Remix|1.0|0|1
4514|BROODS - Taking You There|1.0|0|1
4514|Brooks - If Only I Could|1.0|0|1
4514|Brown Eyed Girls - Abracadabra|1.0|0|1
4514|Bruce Springsteen - Brilliant Disguise|1.0|0|1
